Date,"1 Mo","3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr"
09/19/2003,0.88,0.95,1.02,1.23,1.70,2.20,3.11,3.66,4.17,5.12
09/18/2003,0.89,0.96,1.02,1.23,1.68,2.16,3.09,3.66,4.19,5.15
09/17/2003,0.90,0.95,1.02,1.19,1.63,2.13,3.06,3.64,4.20,5.15
09/16/2003,0.91,0.93,1.02,1.22,1.63,2.16,3.12,3.72,4.29,5.26
09/15/2003,0.91,0.96,1.03,1.20,1.63,2.17,3.12,3.71,4.28,5.24
09/12/2003,0.91,0.96,1.02,1.20,1.66,2.19,3.15,3.72,4.27,5.22
09/11/2003,0.93,0.96,1.02,1.22,1.71,2.27,3.24,3.79,4.35,5.27
09/10/2003,0.94,0.96,1.02,1.20,1.64,2.19,3.18,3.73,4.28,5.22
09/09/2003,0.95,0.96,1.03,1.23,1.71,2.29,3.28,3.85,4.37,5.31
09/08/2003,0.95,0.97,1.05,1.27,1.75,2.33,3.32,3.88,4.41,5.33
09/05/2003,0.95,0.96,1.03,1.24,1.72,2.28,3.28,3.83,4.35,5.29
09/04/2003,0.96,0.97,1.05,1.33,1.91,2.51,3.50,4.04,4.52,5.43
09/03/2003,0.98,0.97,1.04,1.36,2.02,2.62,3.61,4.15,4.60,5.49
09/02/2003,0.98,0.98,1.07,1.39,2.04,2.62,3.63,4.17,4.61,5.48
08/29/2003,0.98,0.98,1.06,1.35,1.95,2.51,3.46,4.00,4.45,5.33
08/28/2003,0.99,0.99,1.06,1.34,1.93,2.48,3.42,3.96,4.42,5.31
08/27/2003,1.00,1.00,1.06,1.38,2.05,2.61,3.55,4.11,4.54,5.43
08/26/2003,1.01,1.01,1.06,1.32,1.96,2.55,3.50,4.05,4.50,5.39
08/25/2003,0.97,1.02,1.07,1.35,2.02,2.59,3.52,4.08,4.53,5.43
08/22/2003,0.96,0.98,1.06,1.35,1.97,2.54,3.47,4.03,4.48,5.37
08/21/2003,0.95,0.97,1.07,1.37,1.98,2.56,3.51,4.07,4.53,5.43
08/20/2003,0.94,0.96,1.04,1.30,1.84,2.43,3.35,3.96,4.45,5.39
08/19/2003,0.96,0.96,1.04,1.29,1.81,2.37,3.27,3.89,4.38,5.33
08/18/2003,0.97,0.96,1.06,1.33,1.87,2.46,3.37,3.99,4.49,5.45
08/15/2003,0.92,0.95,1.05,1.30,1.85,2.47,3.42,4.04,4.55,5.49
08/14/2003,0.96,0.96,1.06,1.31,1.86,2.47,3.42,4.05,4.55,5.49
08/13/2003,0.95,0.96,1.05,1.31,1.86,2.47,3.43,4.06,4.58,5.55
08/12/2003,0.93,0.95,1.04,1.25,1.71,2.29,3.23,3.85,4.37,5.36
08/11/2003,0.92,0.96,1.06,1.30,1.81,2.35,3.26,3.86,4.38,5.36
08/08/2003,0.91,0.96,1.03,1.22,1.72,2.27,3.17,3.76,4.27,5.29
08/07/2003,0.91,0.95,1.04,1.26,1.74,2.30,3.19,3.78,4.30,5.27
08/06/2003,0.92,0.95,1.04,1.28,1.78,2.36,3.25,3.82,4.32,5.31
08/05/2003,0.93,0.96,1.05,1.32,1.88,2.44,3.37,3.98,4.47,5.48
08/04/2003,0.91,0.97,1.05,1.24,1.71,2.24,3.24,3.86,4.35,5.36
08/01/2003,0.91,0.95,1.05,1.31,1.85,2.38,3.37,4.01,4.44,5.42
07/31/2003,0.91,0.96,1.02,1.28,1.80,2.33,3.38,3.98,4.49,5.43
07/30/2003,0.94,0.98,1.01,1.17,1.64,2.21,3.27,3.85,4.34,5.27
07/29/2003,0.99,0.99,1.01,1.17,1.67,2.26,3.33,3.90,4.42,5.33
07/28/2003,0.97,0.97,1.01,1.17,1.61,2.17,3.21,3.79,4.31,5.23
07/25/2003,0.92,0.93,0.98,1.13,1.52,2.06,3.10,3.69,4.22,5.15
07/24/2003,0.91,0.93,0.98,1.13,1.54,2.05,3.08,3.66,4.20,5.12
07/23/2003,0.90,0.93,0.97,1.11,1.54,2.04,3.04,3.60,4.12,5.04
07/22/2003,0.89,0.93,0.97,1.12,1.57,2.10,3.07,3.64,4.17,5.07
07/21/2003,0.86,0.93,0.99,1.17,1.61,2.11,3.10,3.67,4.19,5.09
07/18/2003,0.84,0.91,0.96,1.12,1.51,1.98,2.93,3.49,4.00,4.93
07/17/2003,0.84,0.90,0.96,1.11,1.47,1.93,2.88,3.45,3.98,4.92
07/16/2003,0.85,0.91,0.97,1.12,1.49,1.94,2.87,3.44,3.97,4.91
07/15/2003,0.88,0.92,0.97,1.10,1.45,1.89,2.81,3.40,3.94,4.91
07/14/2003,0.88,0.91,0.96,1.07,1.35,1.74,2.60,3.20,3.74,4.74
07/11/2003,0.89,0.89,0.95,1.06,1.29,1.67,2.52,3.12,3.66,4.65
07/10/2003,0.89,0.89,0.95,1.07,1.33,1.72,2.59,3.17,3.70,4.68
07/09/2003,0.90,0.90,0.95,1.09,1.37,1.77,2.63,3.21,3.73,4.69
07/08/2003,0.92,0.92,0.96,1.09,1.39,1.79,2.65,3.23,3.75,4.71
07/07/2003,0.90,0.92,0.97,1.08,1.36,1.76,2.63,3.22,3.74,4.69
07/03/2003,0.87,0.87,0.95,1.07,1.32,1.69,2.55,3.15,3.67,4.64
07/02/2003,0.87,0.87,0.95,1.06,1.30,1.65,2.47,3.05,3.56,4.54
07/01/2003,0.89,0.89,0.96,1.07,1.30,1.66,2.48,3.06,3.56,4.54
06/30/2003,0.81,0.90,0.98,1.09,1.32,1.66,2.46,3.03,3.54,4.52
06/27/2003,0.80,0.87,0.95,1.09,1.38,1.72,2.52,3.09,3.58,4.57
06/26/2003,0.86,0.91,0.96,1.11,1.41,1.73,2.49,3.07,3.55,4.52
06/25/2003,0.92,0.92,0.94,1.05,1.30,1.57,2.32,2.90,3.38,4.40
06/24/2003,0.82,0.83,0.84,0.91,1.14,1.44,2.21,2.78,3.29,4.31
06/23/2003,0.83,0.85,0.87,0.94,1.17,1.47,2.24,2.82,3.32,4.35
06/20/2003,0.81,0.83,0.85,0.94,1.22,1.55,2.31,2.90,3.40,4.41
06/19/2003,0.83,0.81,0.82,0.88,1.17,1.50,2.28,2.87,3.35,4.37
06/18/2003,0.90,0.89,0.89,0.96,1.27,1.59,2.34,2.90,3.37,4.35
06/17/2003,0.93,0.90,0.91,1.00,1.25,1.53,2.26,2.81,3.27,4.26
06/16/2003,0.93,0.87,0.88,0.95,1.18,1.44,2.14,2.71,3.18,4.18
06/13/2003,0.92,0.86,0.86,0.90,1.10,1.34,2.08,2.63,3.13,4.13
06/12/2003,1.02,0.92,0.90,0.95,1.13,1.38,2.10,2.68,3.18,4.18
06/11/2003,1.07,0.94,0.95,1.00,1.16,1.42,2.16,2.72,3.21,4.23
06/10/2003,1.10,0.97,0.95,0.98,1.13,1.38,2.12,2.69,3.20,4.22
06/09/2003,1.14,1.03,1.00,1.04,1.19,1.45,2.20,2.79,3.29,4.31
06/06/2003,1.14,1.05,1.03,1.08,1.27,1.53,2.29,2.87,3.37,4.37
06/05/2003,1.12,1.04,1.03,1.07,1.25,1.52,2.25,2.83,3.34,4.37
06/04/2003,1.15,1.05,1.03,1.04,1.20,1.46,2.19,2.78,3.30,4.32
06/03/2003,1.17,1.08,1.05,1.07,1.20,1.51,2.25,2.82,3.34,4.35
06/02/2003,1.17,1.14,1.12,1.15,1.33,1.61,2.37,2.94,3.43,4.43
05/30/2003,1.16,1.11,1.09,1.13,1.33,1.58,2.30,2.87,3.37,4.36
05/29/2003,1.18,1.10,1.08,1.11,1.30,1.56,2.27,2.84,3.34,4.35
05/28/2003,1.21,1.12,1.11,1.15,1.35,1.62,2.35,2.94,3.44,4.42
05/27/2003,1.15,1.09,1.09,1.13,1.33,1.63,2.34,2.93,3.41,4.39
05/23/2003,1.14,1.08,1.08,1.14,1.38,1.65,2.33,2.87,3.34,4.28
05/22/2003,1.13,1.08,1.08,1.14,1.36,1.65,2.32,2.87,3.34,4.29
05/21/2003,1.14,1.06,1.08,1.15,1.38,1.67,2.37,2.91,3.39,4.33
05/20/2003,1.02,1.04,1.04,1.10,1.31,1.62,2.34,2.89,3.38,4.36
05/19/2003,1.01,1.05,1.06,1.14,1.35,1.66,2.41,2.98,3.46,4.44
05/16/2003,0.98,1.05,1.06,1.15,1.38,1.69,2.43,3.00,3.46,4.44
05/15/2003,0.98,1.06,1.11,1.21,1.46,1.78,2.52,3.07,3.53,4.48
05/14/2003,0.95,1.06,1.10,1.20,1.41,1.72,2.47,3.02,3.53,4.47
05/13/2003,1.02,1.09,1.12,1.23,1.47,1.82,2.58,3.12,3.63,4.58
05/12/2003,1.07,1.10,1.13,1.22,1.46,1.81,2.58,3.12,3.64,4.60
05/09/2003,1.07,1.11,1.14,1.22,1.45,1.81,2.61,3.17,3.69,4.64
05/08/2003,1.06,1.09,1.14,1.24,1.49,1.82,2.62,3.17,3.70,4.65
05/07/2003,1.08,1.11,1.14,1.21,1.45,1.83,2.64,3.19,3.72,4.67
05/06/2003,1.09,1.10,1.12,1.19,1.45,1.87,2.76,3.31,3.84,4.76
05/05/2003,1.08,1.13,1.17,1.27,1.55,1.98,2.87,3.41,3.92,4.80
05/02/2003,1.07,1.12,1.16,1.27,1.56,2.00,2.90,3.45,3.94,4.84
05/01/2003,1.09,1.10,1.13,1.21,1.50,1.93,2.82,3.37,3.88,4.80
04/30/2003,1.13,1.13,1.15,1.22,1.51,1.95,2.85,3.39,3.89,4.79
04/29/2003,1.14,1.15,1.18,1.28,1.62,2.06,2.94,3.47,3.96,4.86
04/28/2003,1.13,1.14,1.18,1.28,1.59,2.02,2.90,3.43,3.92,4.83
04/25/2003,1.13,1.14,1.17,1.26,1.57,2.00,2.88,3.42,3.91,4.83
04/24/2003,1.13,1.15,1.18,1.28,1.62,2.05,2.92,3.45,3.93,4.84
04/23/2003,1.14,1.17,1.21,1.33,1.70,2.14,3.02,3.54,4.02,4.92
04/22/2003,1.14,1.18,1.21,1.34,1.70,2.14,3.01,3.53,4.01,4.94
04/21/2003,1.14,1.18,1.22,1.35,1.71,2.16,3.03,3.54,4.00,4.92
04/17/2003,1.14,1.18,1.20,1.34,1.71,2.15,2.99,3.50,3.98,4.91
04/16/2003,1.15,1.17,1.20,1.31,1.67,2.10,2.95,3.48,3.96,4.92
04/15/2003,1.17,1.18,1.21,1.32,1.69,2.12,2.96,3.49,3.98,4.93
04/14/2003,1.19,1.20,1.22,1.33,1.74,2.17,3.02,3.55,4.04,4.99
04/11/2003,1.18,1.17,1.19,1.30,1.65,2.09,2.95,3.49,4.00,4.96
04/10/2003,1.18,1.14,1.16,1.25,1.60,2.03,2.89,3.46,3.95,4.94
04/09/2003,1.17,1.13,1.13,1.22,1.55,1.99,2.87,3.44,3.93,4.92
04/08/2003,1.19,1.15,1.15,1.21,1.59,2.03,2.91,3.47,3.95,4.93
04/07/2003,1.19,1.17,1.17,1.25,1.65,2.10,2.99,3.55,4.03,5.01
04/04/2003,1.17,1.11,1.10,1.18,1.55,2.00,2.88,3.48,3.96,4.97
04/03/2003,1.17,1.11,1.10,1.18,1.55,1.99,2.87,3.45,3.93,4.95
04/02/2003,1.17,1.13,1.12,1.22,1.60,2.03,2.89,3.48,3.94,4.94
04/01/2003,1.17,1.12,1.10,1.16,1.50,1.92,2.78,3.35,3.84,4.85
03/31/2003,1.16,1.14,1.13,1.19,1.51,1.93,2.78,3.35,3.83,4.84
03/28/2003,1.15,1.14,1.15,1.22,1.56,1.99,2.86,3.45,3.92,4.93
03/27/2003,1.18,1.16,1.17,1.25,1.62,2.05,2.92,3.50,3.95,4.96
03/26/2003,1.19,1.18,1.18,1.27,1.68,2.11,2.94,3.52,3.96,4.96
03/25/2003,1.21,1.18,1.19,1.28,1.69,2.12,2.97,3.54,3.97,4.97
03/24/2003,1.18,1.17,1.19,1.32,1.71,2.14,2.98,3.55,3.98,4.97
03/21/2003,1.18,1.18,1.20,1.36,1.80,2.25,3.12,3.67,4.11,5.08
03/20/2003,1.19,1.17,1.19,1.34,1.75,2.18,3.02,3.56,4.01,4.99
03/19/2003,1.19,1.16,1.18,1.32,1.72,2.14,2.98,3.53,3.98,4.94
03/18/2003,1.19,1.14,1.19,1.35,1.72,2.12,2.93,3.46,3.91,4.89
03/17/2003,1.16,1.15,1.15,1.24,1.63,2.03,2.82,3.37,3.82,4.82
03/14/2003,1.14,1.13,1.14,1.22,1.56,1.95,2.72,3.27,3.72,4.73
03/13/2003,1.15,1.12,1.14,1.24,1.59,1.98,2.75,3.31,3.74,4.75
03/12/2003,1.15,1.10,1.08,1.14,1.45,1.82,2.57,3.13,3.60,4.62
03/11/2003,1.15,1.10,1.07,1.12,1.38,1.76,2.54,3.11,3.60,4.64
03/10/2003,1.13,1.08,1.06,1.09,1.35,1.73,2.51,3.08,3.59,4.64
03/07/2003,1.16,1.12,1.11,1.15,1.39,1.77,2.56,3.14,3.63,4.67
03/06/2003,1.20,1.18,1.18,1.22,1.47,1.85,2.63,3.18,3.67,4.70
03/05/2003,1.21,1.18,1.18,1.22,1.46,1.82,2.58,3.14,3.63,4.67
03/04/2003,1.23,1.19,1.20,1.24,1.49,1.85,2.62,3.17,3.65,4.68
03/03/2003,1.20,1.20,1.21,1.26,1.52,1.89,2.66,3.21,3.68,4.69
02/28/2003,1.21,1.20,1.19,1.24,1.53,1.91,2.69,3.24,3.71,4.70
02/27/2003,1.24,1.21,1.20,1.27,1.58,1.96,2.75,3.29,3.76,4.75
02/26/2003,1.26,1.21,1.20,1.27,1.57,1.96,2.75,3.30,3.78,4.77
02/25/2003,1.25,1.20,1.20,1.27,1.58,1.98,2.77,3.34,3.81,4.81
02/24/2003,1.21,1.21,1.21,1.28,1.60,2.00,2.82,3.38,3.86,4.85
02/21/2003,1.20,1.19,1.20,1.31,1.63,2.04,2.86,3.42,3.90,4.88
02/20/2003,1.19,1.19,1.20,1.29,1.59,2.00,2.82,3.38,3.85,4.84
02/19/2003,1.19,1.18,1.19,1.29,1.61,2.03,2.87,3.41,3.88,4.86
02/18/2003,1.19,1.19,1.20,1.31,1.66,2.08,2.92,3.48,3.94,4.92
02/14/2003,1.19,1.18,1.19,1.30,1.62,2.05,2.91,3.48,3.95,4.94
02/13/2003,1.18,1.17,1.18,1.27,1.57,1.99,2.85,3.42,3.89,4.86
02/12/2003,1.18,1.18,1.19,1.29,1.62,2.05,2.92,3.48,3.93,4.90
02/11/2003,1.19,1.18,1.19,1.30,1.65,2.10,3.00,3.55,3.98,4.93
02/10/2003,1.17,1.17,1.20,1.33,1.68,2.13,3.03,3.57,3.99,4.94
02/07/2003,1.17,1.17,1.18,1.28,1.63,2.08,2.97,3.51,3.96,4.88
02/06/2003,1.17,1.17,1.19,1.32,1.68,2.13,3.02,3.55,3.97,4.91
02/05/2003,1.18,1.18,1.20,1.34,1.73,2.18,3.07,3.60,4.02,4.97
02/04/2003,1.18,1.16,1.19,1.33,1.68,2.12,2.99,3.53,3.96,4.89
02/03/2003,1.16,1.18,1.21,1.34,1.72,2.17,3.05,3.58,4.01,4.93
01/31/2003,1.17,1.18,1.19,1.31,1.72,2.16,3.02,3.55,4.00,4.93
01/30/2003,1.17,1.18,1.19,1.30,1.70,2.15,3.02,3.56,4.00,4.96
01/29/2003,1.18,1.18,1.20,1.36,1.77,2.21,3.07,3.61,4.06,5.01
01/28/2003,1.19,1.18,1.20,1.34,1.70,2.13,2.99,3.54,4.00,4.96
01/27/2003,1.15,1.17,1.19,1.31,1.70,2.13,2.97,3.53,3.98,4.96
01/24/2003,1.14,1.16,1.19,1.31,1.66,2.08,2.93,3.48,3.94,4.92
01/23/2003,1.16,1.17,1.20,1.33,1.69,2.12,2.97,3.52,3.98,4.98
01/22/2003,1.17,1.17,1.19,1.31,1.66,2.09,2.94,3.49,3.95,4.94
01/21/2003,1.17,1.19,1.22,1.33,1.67,2.11,3.00,3.55,4.01,4.98
01/17/2003,1.17,1.18,1.21,1.34,1.70,2.15,3.05,3.60,4.05,5.00
01/16/2003,1.17,1.18,1.22,1.37,1.75,2.21,3.11,3.65,4.10,5.06
01/15/2003,1.17,1.20,1.23,1.37,1.75,2.21,3.10,3.65,4.10,5.07
01/14/2003,1.18,1.19,1.24,1.40,1.76,2.21,3.10,3.66,4.10,5.09
01/13/2003,1.17,1.21,1.26,1.41,1.81,2.27,3.17,3.72,4.15,5.13
01/10/2003,1.17,1.20,1.24,1.39,1.79,2.26,3.20,3.74,4.16,5.14
01/09/2003,1.18,1.20,1.25,1.44,1.87,2.33,3.23,3.77,4.19,5.17
01/08/2003,1.17,1.19,1.23,1.36,1.71,2.14,3.01,3.56,4.00,5.00
01/07/2003,1.17,1.19,1.24,1.40,1.77,2.19,3.04,3.60,4.04,5.03
01/06/2003,1.17,1.21,1.27,1.44,1.84,2.26,3.10,3.64,4.09,5.05
01/03/2003,1.18,1.22,1.25,1.41,1.79,2.20,3.03,3.60,4.05,5.03
01/02/2003,1.18,1.22,1.25,1.42,1.80,2.22,3.05,3.62,4.07,5.05
