Date,"3 Mo","6 Mo","1 Yr","2 Yr","3 Yr","5 Yr","7 Yr","10 Yr","20 Yr","30 Yr"
11/17/1999,5.24,5.44,5.57,5.90,5.94,5.98,6.18,6.04,6.46,6.13
11/16/1999,5.29,5.45,5.55,5.85,5.88,5.91,6.10,5.97,6.40,6.06
11/15/1999,5.29,5.45,5.52,5.79,5.83,5.87,6.07,5.94,6.37,6.04
11/12/1999,5.23,5.41,5.49,5.78,5.82,5.85,6.06,5.93,6.37,6.03
11/10/1999,5.20,5.41,5.52,5.81,5.84,5.90,6.14,6.00,6.45,6.09
11/09/1999,5.19,5.37,5.49,5.77,5.81,5.87,6.10,5.97,6.43,6.07
11/08/1999,5.20,5.36,5.48,5.74,5.83,5.90,6.08,5.95,6.42,6.06
11/05/1999,5.14,5.33,5.43,5.72,5.80,5.88,6.07,5.92,6.41,6.05
11/04/1999,5.10,5.33,5.44,5.74,5.82,5.91,6.11,5.95,6.45,6.09
11/03/1999,5.12,5.33,5.46,5.79,5.88,5.97,6.18,6.01,6.49,6.14
11/02/1999,5.14,5.31,5.47,5.81,5.93,5.98,6.20,6.04,6.51,6.15
11/01/1999,5.16,5.32,5.47,5.83,5.93,6.00,6.23,6.06,6.55,6.19
10/29/1999,5.12,5.28,5.43,5.79,5.90,5.97,6.19,6.02,6.52,6.16
10/28/1999,5.11,5.31,5.49,5.87,5.95,6.05,6.30,6.12,6.63,6.25
10/27/1999,5.14,5.33,5.53,5.94,6.04,6.13,6.39,6.19,6.71,6.33
10/26/1999,5.15,5.34,5.57,6.02,6.09,6.17,6.46,6.24,6.77,6.38
10/25/1999,5.14,5.33,5.54,5.98,6.06,6.14,6.44,6.22,6.75,6.36
10/22/1999,5.07,5.28,5.50,5.96,6.02,6.13,6.43,6.21,6.76,6.36
10/21/1999,5.14,5.27,5.48,5.93,6.02,6.11,6.43,6.20,6.76,6.36
10/20/1999,5.15,5.25,5.49,5.94,6.02,6.11,6.41,6.19,6.74,6.34
10/19/1999,5.15,5.24,5.47,5.92,5.99,6.09,6.39,6.18,6.74,6.35
10/18/1999,5.15,5.21,5.42,5.85,5.92,6.03,6.34,6.12,6.69,6.30
10/15/1999,5.04,5.15,5.42,5.82,5.89,5.99,6.33,6.09,6.66,6.26
10/14/1999,5.02,5.17,5.45,5.90,5.97,6.09,6.41,6.17,6.73,6.32
10/13/1999,4.98,5.16,5.43,5.87,5.93,6.04,6.35,6.12,6.69,6.29
10/12/1999,4.93,5.14,5.38,5.82,5.89,5.99,6.29,6.07,6.63,6.23
10/08/1999,4.82,5.11,5.36,5.80,5.87,5.97,6.27,6.04,6.61,6.20
10/07/1999,4.84,5.12,5.36,5.82,5.91,5.99,6.28,6.05,6.60,6.19
10/06/1999,4.81,5.09,5.36,5.81,5.89,5.98,6.27,6.04,6.60,6.17
10/05/1999,4.86,5.12,5.33,5.78,5.87,5.94,6.24,6.02,6.59,6.17
10/04/1999,4.87,5.10,5.27,5.70,5.79,5.85,6.15,5.95,6.51,6.10
10/01/1999,4.88,5.01,5.30,5.73,5.83,5.90,6.22,6.00,6.57,6.15
09/30/1999,4.88,4.99,5.22,5.63,5.70,5.78,6.10,5.90,6.47,6.06
09/29/1999,4.83,4.98,5.27,5.68,5.75,5.86,6.18,5.97,6.55,6.13
09/28/1999,4.85,4.97,5.20,5.65,5.70,5.78,6.09,5.89,6.47,6.07
09/27/1999,4.87,5.01,5.19,5.62,5.67,5.73,6.01,5.83,6.42,6.02
09/24/1999,4.78,5.00,5.15,5.55,5.60,5.65,5.94,5.75,6.36,5.95
09/23/1999,4.82,5.05,5.22,5.63,5.70,5.76,6.06,5.87,6.44,6.05
09/22/1999,4.83,5.07,5.26,5.67,5.74,5.81,6.12,5.92,6.50,6.10
09/21/1999,4.79,5.06,5.26,5.67,5.76,5.83,6.14,5.94,6.52,6.10
09/20/1999,4.81,5.09,5.28,5.67,5.75,5.81,6.11,5.91,6.50,6.08
09/17/1999,4.67,5.07,5.24,5.63,5.74,5.76,6.06,5.87,6.47,6.05
09/16/1999,4.70,5.04,5.23,5.63,5.70,5.77,6.09,5.90,6.51,6.08
09/15/1999,4.75,5.07,5.25,5.67,5.79,5.81,6.14,5.94,6.56,6.11
09/14/1999,4.83,5.14,5.30,5.71,5.82,5.85,6.18,5.96,6.57,6.11
09/13/1999,4.80,5.13,5.28,5.66,5.76,5.80,6.12,5.92,6.51,6.06
09/10/1999,4.76,5.11,5.26,5.64,5.75,5.78,6.10,5.89,6.48,6.03
09/09/1999,4.81,5.15,5.30,5.71,5.81,5.85,6.19,5.97,6.54,6.10
09/08/1999,4.83,5.15,5.28,5.67,5.77,5.82,6.15,5.93,6.50,6.07
09/07/1999,4.85,5.15,5.27,5.69,5.78,5.83,6.17,5.95,6.52,6.07
09/03/1999,4.92,5.14,5.22,5.64,5.72,5.78,6.12,5.89,6.45,6.03
09/02/1999,4.92,5.19,5.30,5.74,5.83,5.90,6.23,6.03,6.58,6.15
09/01/1999,4.97,5.21,5.30,5.74,5.82,5.88,6.20,5.99,6.50,6.08
08/31/1999,4.98,5.21,5.30,5.73,5.82,5.88,6.20,5.98,6.49,6.07
08/30/1999,5.01,5.21,5.31,5.73,5.81,5.86,6.16,5.95,6.48,6.07
08/27/1999,4.98,5.11,5.24,5.65,5.74,5.75,6.05,5.85,6.38,5.96
08/26/1999,4.93,5.06,5.18,5.56,5.65,5.67,5.96,5.75,6.29,5.88
08/25/1999,4.93,5.04,5.14,5.53,5.61,5.63,5.94,5.73,6.28,5.87
08/24/1999,4.99,5.11,5.18,5.65,5.71,5.73,6.06,5.85,6.38,5.95
08/23/1999,5.01,5.16,5.21,5.66,5.73,5.79,6.11,5.89,6.41,5.98
08/20/1999,4.84,5.10,5.16,5.65,5.72,5.79,6.10,5.88,6.41,5.99
08/19/1999,4.76,5.08,5.18,5.66,5.74,5.81,6.12,5.90,6.43,6.03
08/18/1999,4.76,5.07,5.19,5.66,5.74,5.79,6.09,5.88,6.41,6.01
08/17/1999,4.83,5.13,5.23,5.68,5.75,5.80,6.10,5.89,6.41,6.02
08/16/1999,4.84,5.14,5.24,5.75,5.82,5.88,6.19,5.98,6.48,6.10
08/13/1999,4.74,5.07,5.19,5.71,5.81,5.88,6.21,5.98,6.45,6.09
08/12/1999,4.79,5.09,5.25,5.78,5.89,5.97,6.33,6.08,6.56,6.18
08/11/1999,4.91,5.11,5.22,5.76,5.86,5.96,6.32,6.05,6.52,6.22
08/10/1999,4.95,5.14,5.24,5.79,5.90,6.00,6.37,6.16,6.55,6.25
08/09/1999,4.96,5.15,5.24,5.79,5.89,6.04,6.33,6.13,6.54,6.23
08/06/1999,4.80,5.03,5.16,5.69,5.79,5.94,6.24,6.02,6.48,6.16
08/05/1999,4.74,4.95,5.05,5.55,5.64,5.77,6.07,5.88,6.38,6.05
08/04/1999,4.78,4.99,5.12,5.64,5.73,5.86,6.13,5.96,6.41,6.12
08/03/1999,4.84,5.02,5.17,5.65,5.75,5.86,6.13,5.95,6.42,6.15
08/02/1999,4.85,4.97,5.15,5.65,5.76,5.85,6.11,5.92,6.40,6.13
07/30/1999,4.75,4.85,5.13,5.63,5.70,5.82,6.10,5.92,6.40,6.11
07/29/1999,4.72,4.83,5.11,5.62,5.68,5.79,6.06,5.88,6.37,6.07
07/28/1999,4.71,4.79,5.04,5.54,5.59,5.70,5.97,5.81,6.30,6.01
07/27/1999,4.70,4.77,5.03,5.56,5.61,5.70,5.98,5.82,6.31,6.01
07/26/1999,4.68,4.73,5.04,5.61,5.68,5.73,6.02,5.86,6.34,6.04
07/23/1999,4.65,4.71,5.02,5.58,5.65,5.72,6.00,5.84,6.32,6.02
07/22/1999,4.61,4.68,4.99,5.52,5.62,5.66,5.94,5.78,6.27,5.97
07/21/1999,4.59,4.65,4.92,5.45,5.51,5.55,5.81,5.66,6.20,5.91
07/20/1999,4.64,4.64,4.96,5.43,5.48,5.54,5.80,5.65,6.18,5.89
07/19/1999,4.67,4.69,5.00,5.46,5.51,5.56,5.82,5.66,6.19,5.90
07/16/1999,4.68,4.67,5.00,5.50,5.53,5.57,5.83,5.68,6.18,5.90
07/15/1999,4.70,4.68,5.01,5.53,5.59,5.63,5.88,5.72,6.20,5.91
07/14/1999,4.72,4.69,5.01,5.55,5.59,5.63,5.89,5.74,6.21,5.92
07/13/1999,4.71,4.71,5.00,5.50,5.57,5.60,5.86,5.71,6.19,5.90
07/12/1999,4.74,4.73,5.02,5.53,5.56,5.62,5.89,5.74,6.20,5.92
07/09/1999,4.69,4.75,5.04,5.61,5.68,5.72,5.99,5.84,6.30,6.01
07/08/1999,4.68,4.74,5.04,5.59,5.66,5.72,5.98,5.85,6.30,6.01
07/07/1999,4.67,4.75,5.06,5.64,5.74,5.79,6.05,5.92,6.36,6.08
07/06/1999,4.72,4.78,5.08,5.64,5.73,5.77,6.02,5.88,6.34,6.05
07/02/1999,4.69,4.98,5.08,5.58,5.65,5.70,5.96,5.82,6.30,6.00
07/01/1999,4.68,5.01,5.09,5.58,5.65,5.73,5.98,5.85,6.32,6.02
06/30/1999,4.78,5.04,5.07,5.53,5.59,5.67,5.93,5.81,6.29,5.98
06/29/1999,4.84,5.13,5.17,5.68,5.75,5.84,6.08,5.93,6.38,6.07
06/28/1999,4.88,5.15,5.15,5.68,5.75,5.86,6.11,5.96,6.42,6.10
06/25/1999,4.80,5.10,5.18,5.73,5.81,5.91,6.18,6.02,6.49,6.16
06/24/1999,4.74,5.06,5.18,5.75,5.84,5.93,6.20,6.05,6.51,6.17
06/23/1999,4.73,5.05,5.18,5.70,5.79,5.90,6.15,6.00,6.47,6.13
06/22/1999,4.73,5.05,5.15,5.65,5.73,5.84,6.08,5.94,6.41,6.07
06/21/1999,4.74,5.05,5.01,5.62,5.68,5.81,6.04,5.90,6.36,6.03
06/18/1999,4.69,4.99,4.98,5.56,5.63,5.75,5.95,5.84,6.30,5.98
06/17/1999,4.64,4.95,4.95,5.49,5.56,5.67,5.92,5.79,6.27,5.95
06/16/1999,4.67,5.02,5.00,5.61,5.69,5.84,6.09,5.94,6.40,6.08
06/15/1999,4.74,5.08,5.09,5.66,5.74,5.87,6.12,5.98,6.43,6.11
06/14/1999,4.76,5.06,5.13,5.66,5.75,5.89,6.12,5.98,6.43,6.11
06/11/1999,4.74,5.10,5.16,5.70,5.78,5.92,6.17,6.02,6.47,6.13
06/10/1999,4.67,5.03,5.13,5.66,5.74,5.85,6.07,5.92,6.37,6.05
06/09/1999,4.60,4.99,5.12,5.61,5.69,5.79,6.02,5.87,6.32,6.02
06/08/1999,4.62,4.98,5.10,5.57,5.65,5.74,5.97,5.83,6.30,6.00
06/07/1999,4.64,4.98,5.08,5.56,5.64,5.73,5.96,5.81,6.27,5.97
06/04/1999,4.57,4.95,5.07,5.56,5.64,5.75,5.97,5.82,6.28,5.97
06/03/1999,4.65,4.96,5.07,5.54,5.62,5.75,5.95,5.80,6.25,5.96
06/02/1999,4.74,4.96,5.07,5.55,5.64,5.75,5.98,5.80,6.26,5.94
06/01/1999,4.77,4.97,5.09,5.54,5.63,5.74,5.99,5.78,6.27,5.94
05/28/1999,4.66,4.83,4.97,5.42,5.51,5.60,5.83,5.64,6.15,5.84
05/27/1999,4.65,4.83,4.98,5.43,5.52,5.59,5.81,5.62,6.15,5.85
05/26/1999,4.66,4.81,4.92,5.33,5.41,5.49,5.72,5.55,6.12,5.80
05/25/1999,4.64,4.80,4.90,5.30,5.37,5.44,5.66,5.49,6.07,5.76
05/24/1999,4.64,4.78,4.86,5.28,5.35,5.43,5.65,5.50,6.08,5.77
05/21/1999,4.61,4.77,4.87,5.30,5.37,5.46,5.67,5.52,6.08,5.78
05/20/1999,4.61,4.76,4.88,5.35,5.43,5.53,5.74,5.60,6.13,5.83
05/19/1999,4.63,4.78,4.90,5.37,5.44,5.54,5.72,5.60,6.09,5.81
05/18/1999,4.66,4.82,4.92,5.38,5.46,5.58,5.79,5.68,6.15,5.90
05/17/1999,4.71,4.82,4.90,5.31,5.40,5.53,5.75,5.66,6.16,5.91
05/14/1999,4.64,4.73,4.86,5.30,5.38,5.48,5.71,5.62,6.16,5.92
05/13/1999,4.59,4.68,4.75,5.12,5.19,5.29,5.48,5.41,6.00,5.75
05/12/1999,4.60,4.69,4.79,5.19,5.27,5.39,5.60,5.51,6.09,5.83
05/11/1999,4.62,4.71,4.80,5.19,5.27,5.40,5.63,5.59,6.11,5.85
05/10/1999,4.60,4.69,4.77,5.15,5.24,5.38,5.58,5.54,6.07,5.79
05/07/1999,4.62,4.69,4.78,5.19,5.27,5.40,5.60,5.54,6.10,5.82
05/06/1999,4.62,4.68,4.79,5.19,5.26,5.39,5.57,5.52,6.07,5.80
05/05/1999,4.61,4.67,4.75,5.09,5.16,5.27,5.46,5.40,5.97,5.71
05/04/1999,4.63,4.69,4.80,5.12,5.20,5.30,5.48,5.42,6.00,5.72
05/03/1999,4.62,4.69,4.79,5.08,5.16,5.25,5.44,5.38,5.93,5.67
04/30/1999,4.55,4.66,4.78,5.08,5.17,5.24,5.42,5.36,5.94,5.68
04/29/1999,4.51,4.60,4.68,4.95,5.02,5.09,5.26,5.22,5.79,5.53
04/28/1999,4.51,4.60,4.75,5.02,5.10,5.16,5.32,5.27,5.84,5.58
04/27/1999,4.50,4.60,4.74,5.04,5.07,5.12,5.29,5.22,5.82,5.55
04/26/1999,4.47,4.57,4.72,5.04,5.12,5.14,5.31,5.23,5.84,5.57
04/23/1999,4.43,4.60,4.71,5.04,5.09,5.15,5.34,5.26,5.87,5.60
04/22/1999,4.40,4.56,4.73,5.05,5.09,5.15,5.34,5.25,5.89,5.61
04/21/1999,4.36,4.53,4.68,4.99,5.03,5.07,5.24,5.17,5.80,5.52
04/20/1999,4.38,4.54,4.67,4.95,5.03,5.06,5.25,5.16,5.79,5.52
04/19/1999,4.36,4.54,4.69,4.99,5.04,5.08,5.27,5.18,5.81,5.55
04/16/1999,4.34,4.55,4.71,5.02,5.08,5.13,5.32,5.23,5.85,5.57
04/15/1999,4.32,4.51,4.66,4.97,5.05,5.08,5.27,5.18,5.80,5.53
04/14/1999,4.30,4.50,4.65,4.95,4.98,5.04,5.24,5.13,5.77,5.51
04/13/1999,4.32,4.50,4.66,4.94,4.97,5.02,5.23,5.12,5.77,5.50
04/12/1999,4.32,4.50,4.66,4.93,4.95,4.98,5.17,5.06,5.72,5.45
04/09/1999,4.42,4.51,4.63,4.88,4.91,4.96,5.17,5.05,5.73,5.46
04/08/1999,4.40,4.52,4.64,4.86,4.89,4.94,5.16,5.03,5.71,5.44
04/07/1999,4.42,4.54,4.69,4.93,5.01,5.04,5.26,5.14,5.80,5.51
04/06/1999,4.42,4.53,4.66,4.93,4.98,5.01,5.26,5.13,5.80,5.52
04/05/1999,4.40,4.53,4.67,4.96,5.02,5.07,5.33,5.20,5.88,5.59
04/02/1999,4.43,4.48,4.67,4.96,5.03,5.07,5.31,5.20,5.88,5.59
04/01/1999,4.44,4.51,4.73,5.01,5.08,5.15,5.40,5.27,5.96,5.67
03/31/1999,4.49,4.53,4.72,4.99,5.07,5.12,5.38,5.25,5.92,5.63
03/30/1999,4.48,4.50,4.72,4.97,5.03,5.09,5.34,5.21,5.89,5.59
03/29/1999,4.51,4.52,4.75,5.02,5.08,5.15,5.40,5.28,5.94,5.65
03/26/1999,4.51,4.53,4.74,4.99,5.05,5.10,5.35,5.21,5.90,5.61
03/25/1999,4.51,4.56,4.77,5.02,5.07,5.12,5.35,5.21,5.88,5.59
03/24/1999,4.50,4.54,4.73,4.98,5.04,5.07,5.30,5.17,5.84,5.54
03/23/1999,4.50,4.53,4.74,5.03,5.09,5.11,5.34,5.20,5.87,5.57
03/22/1999,4.52,4.58,4.77,5.08,5.10,5.13,5.34,5.21,5.87,5.57
03/19/1999,4.51,4.64,4.73,5.04,5.05,5.07,5.31,5.17,5.82,5.53
03/18/1999,4.51,4.63,4.72,4.99,5.00,5.02,5.24,5.11,5.77,5.49
03/17/1999,4.53,4.67,4.74,5.01,5.05,5.05,5.27,5.14,5.78,5.51
03/16/1999,4.55,4.69,4.74,4.97,5.01,5.03,5.24,5.11,5.75,5.48
03/15/1999,4.61,4.72,4.76,4.99,5.03,5.07,5.29,5.15,5.79,5.51
03/12/1999,4.60,4.68,4.76,5.00,5.06,5.08,5.31,5.16,5.82,5.54
03/11/1999,4.62,4.69,4.77,5.05,5.11,5.13,5.35,5.21,5.87,5.57
03/10/1999,4.60,4.68,4.75,5.04,5.09,5.13,5.35,5.20,5.86,5.56
03/09/1999,4.60,4.68,4.76,5.02,5.08,5.11,5.33,5.18,5.84,5.54
03/08/1999,4.64,4.73,4.83,5.12,5.18,5.21,5.42,5.29,5.90,5.60
03/05/1999,4.63,4.73,4.84,5.14,5.21,5.24,5.44,5.34,5.91,5.60
03/04/1999,4.62,4.75,4.90,5.20,5.27,5.32,5.52,5.41,5.97,5.69
03/03/1999,4.62,4.75,4.89,5.19,5.24,5.29,5.48,5.39,5.95,5.68
03/02/1999,4.66,4.75,4.93,5.18,5.24,5.27,5.44,5.35,5.88,5.63
03/01/1999,4.71,4.79,4.91,5.20,5.28,5.32,5.49,5.40,5.94,5.67
02/26/1999,4.66,4.70,4.88,5.13,5.16,5.21,5.39,5.29,5.85,5.57
02/25/1999,4.62,4.70,4.86,5.15,5.21,5.23,5.43,5.32,5.90,5.61
02/24/1999,4.67,4.70,4.85,5.05,5.09,5.12,5.29,5.18,5.82,5.51
02/23/1999,4.66,4.65,4.78,5.00,5.04,5.04,5.20,5.10,5.74,5.42
02/22/1999,4.65,4.62,4.73,4.91,4.94,4.95,5.14,5.03,5.67,5.36
02/19/1999,4.56,4.65,4.71,4.95,4.97,4.99,5.19,5.07,5.71,5.38
02/18/1999,4.53,4.61,4.72,4.93,4.95,4.96,5.16,5.04,5.70,5.37
02/17/1999,4.52,4.60,4.69,4.89,4.91,4.91,5.09,4.98,5.65,5.32
02/16/1999,4.56,4.64,4.73,4.93,4.95,4.96,5.14,5.03,5.69,5.35
02/12/1999,4.54,4.59,4.74,4.91,4.94,4.96,5.18,5.06,5.76,5.42
02/11/1999,4.50,4.55,4.66,4.80,4.82,4.83,5.01,4.93,5.58,5.29
02/10/1999,4.48,4.54,4.64,4.77,4.78,4.79,4.99,4.90,5.58,5.34
02/09/1999,4.53,4.57,4.65,4.79,4.78,4.78,4.99,4.91,5.58,5.33
02/08/1999,4.54,4.59,4.66,4.80,4.84,4.86,5.03,4.94,5.61,5.35
02/05/1999,4.50,4.60,4.66,4.80,4.85,4.88,5.04,4.94,5.61,5.34
02/04/1999,4.49,4.55,4.63,4.77,4.80,4.82,5.00,4.89,5.57,5.30
02/03/1999,4.48,4.55,4.59,4.72,4.73,4.74,4.91,4.83,5.52,5.25
02/02/1999,4.53,4.57,4.59,4.70,4.70,4.70,4.87,4.79,5.51,5.24
02/01/1999,4.53,4.56,4.58,4.65,4.65,4.65,4.82,4.75,5.45,5.19
01/29/1999,4.48,4.47,4.51,4.58,4.57,4.55,4.72,4.66,5.35,5.09
01/28/1999,4.49,4.45,4.52,4.58,4.57,4.57,4.73,4.67,5.37,5.11
01/27/1999,4.47,4.47,4.51,4.57,4.57,4.57,4.74,4.68,5.40,5.14
01/26/1999,4.46,4.46,4.51,4.63,4.61,4.58,4.76,4.69,5.41,5.12
01/25/1999,4.44,4.45,4.48,4.59,4.58,4.55,4.74,4.67,5.40,5.12
01/22/1999,4.36,4.44,4.46,4.59,4.58,4.54,4.73,4.64,5.38,5.09
01/21/1999,4.32,4.45,4.48,4.63,4.62,4.60,4.79,4.70,5.43,5.14
01/20/1999,4.37,4.49,4.53,4.66,4.66,4.65,4.86,4.76,5.48,5.18
01/19/1999,4.41,4.48,4.49,4.62,4.62,4.60,4.82,4.71,5.46,5.14
01/15/1999,4.44,4.44,4.46,4.56,4.55,4.54,4.76,4.66,5.43,5.10
01/14/1999,4.44,4.41,4.41,4.47,4.48,4.48,4.73,4.63,5.39,5.07
01/13/1999,4.45,4.48,4.49,4.61,4.61,4.60,4.84,4.74,5.49,5.16
01/12/1999,4.48,4.51,4.55,4.68,4.68,4.68,4.89,4.82,5.55,5.23
01/11/1999,4.51,4.57,4.62,4.74,4.75,4.76,4.95,4.90,5.61,5.29
01/08/1999,4.48,4.53,4.57,4.71,4.71,4.72,4.92,4.86,5.57,5.26
01/07/1999,4.44,4.49,4.51,4.63,4.63,4.62,4.82,4.77,5.48,5.23
01/06/1999,4.47,4.55,4.53,4.62,4.62,4.61,4.76,4.73,5.42,5.17
01/05/1999,4.48,4.57,4.56,4.64,4.64,4.62,4.80,4.74,5.48,5.21
01/04/1999,4.49,4.57,4.58,4.58,4.57,4.57,4.75,4.69,5.42,5.15
